scenario,donation_id,operation_id,pantry_id,outcome,disruption_status,latency_ms,unsafe_recovery,error
1,11,1,7,autonomous_recovery,in_transit_replanned,798.94,0,
2,18,1,1,autonomous_recovery,in_transit_replanned,808.53,0,
3,5,1,5,autonomous_recovery,in_transit_replanned,709.94,0,
4,5,1,3,autonomous_recovery,in_transit_replanned,1396.7,0,
5,3,1,7,autonomous_recovery,in_transit_replanned,609.14,0,
6,7,1,4,autonomous_recovery,in_transit_replanned,665.4,0,
7,3,1,7,autonomous_recovery,in_transit_replanned,647.72,0,
8,5,1,5,autonomous_recovery,in_transit_replanned,876.09,0,
9,7,1,4,autonomous_recovery,in_transit_replanned,691.24,0,
10,18,1,1,autonomous_recovery,in_transit_replanned,706.83,0,
