scenario,donation_id,food_type,quantity_lbs,available_at,pickup_deadline,window_minutes,network_stress,optimizer_status,outcome,rescued_lbs,unrescued_lbs,rescue_rate,drivers_used,planning_latency_ms,safety_violations,safety_violation_count,error
1,4,produce,20.0,13:45,15:00,75,normal,optimal,fully_rescued,20.0,0.0,1.0,1,5758.85,,0,
2,5,prepared_food,50.0,13:15,16:15,180,normal,optimal,fully_rescued,50.0,0.0,1.0,1,6538.74,,0,
3,14,produce,30.0,08:00,08:30,30,normal,optimal,fully_rescued,30.0,0.0,1.0,1,760.57,,0,
4,17,prepared_food,20.0,12:15,13:15,60,pantry_capacity,optimal,fully_rescued,20.0,0.0,1.0,1,5716.63,,0,
5,11,bakery,130.0,09:00,10:00,60,combined,optimal,fully_rescued,130.0,0.0,1.0,1,5867.91,,0,
6,13,prepared_food,40.0,12:15,13:30,75,combined,exception,safely_rejected,0.0,40.0,0.0,0,5993.5,,0,"Route for Emily finishes at 13:02, but their shift ends at 12:30."
7,3,bakery,75.0,12:15,13:15,60,normal,optimal,fully_rescued,75.0,0.0,1.0,1,5859.75,,0,
8,13,prepared_food,130.0,13:00,16:00,180,normal,optimal,fully_rescued,130.0,0.0,1.0,1,5812.34,,0,
9,11,bakery,30.0,09:45,10:05,20,combined,optimal,fully_rescued,30.0,0.0,1.0,1,7579.82,,0,
10,9,produce,250.0,12:30,14:30,120,normal,optimal,fully_rescued,250.0,0.0,1.0,2,5834.28,,0,
11,5,prepared_food,325.0,11:45,12:15,30,pantry_capacity,optimal,fully_rescued,325.0,0.0,1.0,2,6020.6,,0,
12,14,produce,40.0,11:00,13:00,120,driver_capacity,optimal,fully_rescued,40.0,0.0,1.0,1,5803.79,,0,
13,11,bakery,50.0,10:15,12:15,120,normal,optimal,fully_rescued,50.0,0.0,1.0,1,5849.25,,0,
14,1,produce,130.0,12:00,12:45,45,driver_capacity,optimal,fully_rescued,130.0,0.0,1.0,1,6018.31,,0,
15,17,prepared_food,90.0,09:00,10:30,90,pantry_capacity,optimal,fully_rescued,90.0,0.0,1.0,1,5977.1,,0,
16,4,produce,200.0,10:15,11:15,60,normal,optimal,fully_rescued,200.0,0.0,1.0,1,5922.09,,0,
17,3,bakery,40.0,13:45,16:15,150,combined,optimal,fully_rescued,40.0,0.0,1.0,1,6175.2,,0,
18,15,dairy,325.0,11:30,12:00,30,normal,exception,safely_rejected,0.0,325.0,0.0,0,6285.49,,0,"Route for Emily finishes at 12:33, but their shift ends at 12:30."
19,3,bakery,180.0,08:00,12:00,240,driver_capacity,optimal,fully_rescued,180.0,0.0,1.0,1,5819.91,,0,
20,16,bakery,90.0,12:15,13:00,45,pantry_capacity,optimal,fully_rescued,90.0,0.0,1.0,1,5787.74,,0,
21,15,dairy,30.0,13:15,13:45,30,normal,optimal,fully_rescued,30.0,0.0,1.0,1,5698.43,,0,
22,11,bakery,50.0,09:45,10:45,60,normal,optimal,fully_rescued,50.0,0.0,1.0,1,5762.68,,0,
23,15,dairy,60.0,11:15,12:00,45,normal,optimal,fully_rescued,60.0,0.0,1.0,1,5693.92,,0,
24,8,shelf_stable,40.0,11:30,14:30,180,normal,optimal,fully_rescued,40.0,0.0,1.0,1,5678.42,,0,
25,18,produce,20.0,08:30,09:30,60,normal,optimal,fully_rescued,20.0,0.0,1.0,1,5649.35,,0,
26,16,bakery,300.0,09:30,11:30,120,combined,optimal,fully_rescued,300.0,0.0,1.0,2,6543.19,,0,
27,2,dairy,350.0,08:15,09:45,90,normal,optimal,fully_rescued,350.0,0.0,1.0,3,5843.93,,0,
28,16,bakery,325.0,12:00,12:45,45,normal,optimal,fully_rescued,325.0,0.0,1.0,2,6106.63,,0,
29,17,prepared_food,40.0,09:15,09:45,30,driver_capacity,optimal,fully_rescued,40.0,0.0,1.0,1,6437.26,,0,
30,11,bakery,110.0,10:00,12:00,120,normal,optimal,fully_rescued,110.0,0.0,1.0,1,5993.95,,0,
31,10,produce,275.0,10:30,11:00,30,normal,optimal,fully_rescued,275.0,0.0,1.0,2,5941.55,,0,
32,4,produce,40.0,12:15,13:15,60,driver_capacity,optimal,fully_rescued,40.0,0.0,1.0,1,5671.74,,0,
33,6,produce,275.0,12:15,13:30,75,pantry_capacity,optimal,fully_rescued,275.0,0.0,1.0,2,5965.43,,0,
34,4,produce,60.0,10:00,10:30,30,combined,optimal,fully_rescued,60.0,0.0,1.0,1,37513.51,,0,
35,9,produce,30.0,08:00,09:30,90,pantry_capacity,optimal,fully_rescued,30.0,0.0,1.0,1,5771.41,,0,
